path,pattern,status,review
api-server/Makefile,openai_like,false_positive,Définition de regex de détection (pattern lui-même, pas une clé)
api-server/preflight_secrets.py,openai_like,false_positive,Liste de placeholders explicitement rejetés au démarrage (sk-placeholder/sk-test/sk-fake/sk-dummy)
api-server/.env.development.example,openai_like,false_positive,Fichier .example — valeur sk-dev-placeholder, jamais une vraie clé
api-server/run_tests.sh,openai_like,false_positive,export OPENAI_API_KEY=sk-test-key pour environnement de test local
api-server/run_regression.sh,openai_like,false_positive,export OPENAI_API_KEY=sk-ci-test pour CI
autocommerce-app/package-lock.json,openai_like,false_positive,Coincidence dans une URL de registre npm (métadonnées de paquet), aucune clé
api-server/tests/test_plan_a_invoicing.py,openai_like,false_positive,Clé de test factice dans un fixture
api-server/tests/test_llm_gateway.py,openai_like,false_positive,Clé de test factice dans un fixture
api-server/tests/test_audit_log.py,jwt_like,false_positive,Fragment de JWT tronqué (eyJhbGci...) dans un header de test
api-server/tests/test_paymee_checksum.py,openai_like,false_positive,Clé de test factice
api-server/tests/test_tax_service.py,openai_like,false_positive,Clé de test factice
api-server/tests/test_paymee_provider.py,openai_like,false_positive,Clé de test factice
api-server/tests/test_uploads_invoices.py,openai_like,false_positive,Clé de test factice
api-server/tests/test_message_queue.py,openai_like,false_positive,Clé de test factice
api-server/tests/conftest.py,openai_like,false_positive,os.environ.setdefault avec valeur de test
api-server/tests/conftest.py,aws_access_key,false_positive,AKIAIOSFODNN7EXAMPLE — clé d'exemple officielle AWS (documentation AWS SDK)
api-server/tests/test_promotions_service.py,openai_like,false_positive,Clé de test factice
api-server/tests/test_ai_agent_fsm.py,openai_like,false_positive,Clé de test factice
api-server/tests/conftest_unit.py,openai_like,false_positive,Clé de test factice
api-server/tests/conftest_unit.py,aws_access_key,false_positive,AKIAIOSFODNN7EXAMPLE — clé d'exemple officielle AWS
api-server/tests/integration/conftest.py,openai_like,false_positive,os.environ.setdefault avec valeur de test
api-server/tests/integration/conftest.py,aws_access_key,false_positive,AKIAIOSFODNN7EXAMPLE — clé d'exemple officielle AWS
autocommerce-app/public/slide_coiffure.jpg,openai_like,false_positive,Fichier image binaire — coïncidence d'octets, scanner de motif appliqué aveuglément aux binaires
docs/archive/CHANGES_PASSE2.md,openai_like,false_positive,Mention documentaire de "sk-test-..." dans un texte explicatif, pas une clé
